epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,10252.3,0.72965,0.4885,1.20293,0.86986,0.76198,0.85339,0.56674,1.38554,0.88695,1.89132,0.00389445,0.00389445,0.00389445
117,10334.3,0.74031,0.4849,1.21498,0.87102,0.76226,0.8539,0.56405,1.38244,0.8829,1.8828,0.00381899,0.00381899,0.00381899
118,10419.5,0.71329,0.47377,1.18997,0.86674,0.77602,0.85823,0.57118,1.38068,0.87968,1.88092,0.00374383,0.00374383,0.00374383
119,10513.5,0.71874,0.47423,1.19977,0.85428,0.77029,0.85745,0.57286,1.37545,0.87601,1.87722,0.00366899,0.00366899,0.00366899
120,10598.9,0.70128,0.46435,1.18013,0.86056,0.76451,0.85688,0.57545,1.36981,0.87308,1.86871,0.0035945,0.0035945,0.0035945
121,10687,0.71049,0.46818,1.19147,0.87,0.75993,0.85744,0.57698,1.36596,0.86716,1.8634,0.00352037,0.00352037,0.00352037
122,10772.1,0.70265,0.46074,1.18134,0.86427,0.76691,0.86243,0.5768,1.36873,0.86239,1.86917,0.00344661,0.00344661,0.00344661
123,10851.3,0.6957,0.45772,1.17541,0.86961,0.76416,0.85954,0.57484,1.37212,0.85965,1.88103,0.00337325,0.00337325,0.00337325
124,10936.5,0.68932,0.44995,1.17321,0.87325,0.76411,0.86017,0.57294,1.37364,0.86914,1.88009,0.0033003,0.0033003,0.0033003
125,11021.9,0.68127,0.44527,1.16436,0.86111,0.76647,0.86001,0.57314,1.37042,0.87195,1.87643,0.00322778,0.00322778,0.00322778
126,11116.1,0.6791,0.44839,1.1614,0.85974,0.77195,0.85954,0.57512,1.36669,0.86886,1.8813,0.00315572,0.00315572,0.00315572
127,11198.1,0.66067,0.43649,1.14836,0.86979,0.77278,0.86291,0.5767,1.36084,0.86661,1.87862,0.00308412,0.00308412,0.00308412
128,11287.3,0.65814,0.44059,1.1457,0.86309,0.76702,0.85848,0.57545,1.35961,0.86232,1.87105,0.003013,0.003013,0.003013
129,11373.7,0.66932,0.43407,1.15331,0.86468,0.77016,0.86205,0.58048,1.35778,0.86019,1.86881,0.00294239,0.00294239,0.00294239
130,11459,0.67034,0.43453,1.15476,0.87496,0.77196,0.86405,0.58336,1.35409,0.84888,1.8632,0.0028723,0.0028723,0.0028723
131,11550.4,0.64575,0.42928,1.13793,0.8639,0.77216,0.86265,0.58122,1.35269,0.84736,1.86607,0.00280275,0.00280275,0.00280275
132,11638.4,0.65074,0.42541,1.13753,0.83733,0.78559,0.8628,0.58031,1.34886,0.84668,1.86472,0.00273375,0.00273375,0.00273375
133,11723.7,0.64941,0.42207,1.13787,0.84094,0.7895,0.86433,0.58387,1.34797,0.84946,1.86494,0.00266532,0.00266532,0.00266532
134,11805.6,0.64321,0.4294,1.13401,0.85639,0.77257,0.86077,0.58359,1.34846,0.8495,1.86508,0.00259748,0.00259748,0.00259748
135,11891,0.62954,0.41526,1.11908,0.85335,0.77876,0.86282,0.5823,1.34506,0.85029,1.8626,0.00253024,0.00253024,0.00253024
136,11979,0.6375,0.41747,1.12832,0.85806,0.78296,0.86531,0.58532,1.34429,0.85071,1.85933,0.00246363,0.00246363,0.00246363
137,12064.3,0.62877,0.40925,1.12221,0.86531,0.78221,0.86592,0.58327,1.34404,0.84746,1.8609,0.00239766,0.00239766,0.00239766
138,12152.3,0.6153,0.41618,1.11113,0.86974,0.78152,0.86811,0.58536,1.34059,0.84365,1.85887,0.00233234,0.00233234,0.00233234
139,12240.4,0.62361,0.4132,1.1215,0.87591,0.77691,0.86445,0.58525,1.34289,0.84402,1.85915,0.00226769,0.00226769,0.00226769
140,12325.6,0.6199,0.40959,1.11608,0.86153,0.78845,0.86194,0.58614,1.34376,0.8454,1.86604,0.00220372,0.00220372,0.00220372
141,12410.9,0.61007,0.40443,1.10337,0.86514,0.78289,0.86238,0.58575,1.34183,0.84696,1.86936,0.00214046,0.00214046,0.00214046
142,12499,0.60758,0.40142,1.10657,0.85368,0.7843,0.85945,0.58505,1.3387,0.84472,1.86713,0.00207792,0.00207792,0.00207792
143,12587,0.6122,0.39919,1.1108,0.87582,0.76298,0.85779,0.58177,1.33802,0.84613,1.86646,0.00201611,0.00201611,0.00201611
144,12678.3,0.60724,0.4037,1.10501,0.87114,0.76902,0.86217,0.58418,1.34101,0.84565,1.86998,0.00195505,0.00195505,0.00195505
145,12763.8,0.60422,0.39441,1.10297,0.86774,0.76849,0.86062,0.58433,1.33959,0.84813,1.8718,0.00189475,0.00189475,0.00189475
146,12843,0.60126,0.39896,1.10025,0.87039,0.77282,0.86249,0.58571,1.33781,0.84788,1.87002,0.00183523,0.00183523,0.00183523
147,12912.7,0.57919,0.38636,1.0858,0.8654,0.77546,0.86344,0.58992,1.33585,0.84331,1.86811,0.00177651,0.00177651,0.00177651
148,12997.9,0.58893,0.38838,1.09095,0.87027,0.77357,0.86323,0.59207,1.33768,0.84204,1.87371,0.00171859,0.00171859,0.00171859
149,13086,0.57939,0.38521,1.08566,0.86887,0.77225,0.86304,0.59202,1.33844,0.84413,1.87535,0.00166149,0.00166149,0.00166149
150,13171.4,0.57149,0.37729,1.07931,0.85635,0.77849,0.86191,0.58915,1.33605,0.84658,1.8722,0.00160523,0.00160523,0.00160523
151,13256.6,0.56342,0.37629,1.07344,0.86339,0.77908,0.8628,0.58962,1.33723,0.84589,1.8741,0.00154982,0.00154982,0.00154982
152,13341.7,0.5699,0.37943,1.07934,0.85903,0.78032,0.86477,0.59234,1.3378,0.84545,1.87602,0.00149527,0.00149527,0.00149527
153,13427.1,0.57317,0.37951,1.08021,0.86679,0.77612,0.86676,0.59162,1.33885,0.843,1.87641,0.00144161,0.00144161,0.00144161
154,13512.3,0.55559,0.37169,1.06715,0.87989,0.76828,0.86726,0.59116,1.33724,0.84418,1.87774,0.00138883,0.00138883,0.00138883
155,13600.5,0.55258,0.36943,1.06332,0.88991,0.76371,0.86668,0.59111,1.33448,0.84545,1.87765,0.00133695,0.00133695,0.00133695
156,13691.8,0.55575,0.37056,1.06621,0.89322,0.76584,0.86768,0.59249,1.33211,0.84439,1.87678,0.00128599,0.00128599,0.00128599
157,13771,0.5487,0.36709,1.06262,0.89473,0.76762,0.8705,0.59531,1.33117,0.84185,1.87442,0.00123596,0.00123596,0.00123596
158,13852.9,0.55816,0.36756,1.06985,0.8766,0.78029,0.87109,0.59545,1.33002,0.84352,1.871,0.00118687,0.00118687,0.00118687
159,13941,0.544,0.36416,1.05845,0.87454,0.78141,0.86872,0.59561,1.33382,0.84352,1.87646,0.00113873,0.00113873,0.00113873
160,14029,0.54049,0.36357,1.05391,0.87019,0.78081,0.87057,0.59465,1.33381,0.84038,1.87809,0.00109156,0.00109156,0.00109156
161,14117.1,0.54118,0.37002,1.05879,0.86828,0.78544,0.8726,0.59658,1.333,0.84084,1.87944,0.00104537,0.00104537,0.00104537
162,14211.1,0.53573,0.36273,1.05708,0.87409,0.78094,0.87385,0.59683,1.33278,0.84048,1.88063,0.00100016,0.00100016,0.00100016
