epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,4217.06,0.71257,0.46304,1.17006,0.84671,0.76275,0.85403,0.56973,1.37862,0.88172,1.84558,0.00352037,0.00352037,0.00352037
122,4251.81,0.70281,0.45926,1.16242,0.83319,0.7744,0.85821,0.56889,1.38015,0.87546,1.84813,0.00344661,0.00344661,0.00344661
123,4286.54,0.69402,0.4531,1.1553,0.8463,0.75907,0.85558,0.57064,1.38482,0.87652,1.84926,0.00337325,0.00337325,0.00337325
124,4321.29,0.68541,0.4487,1.14823,0.85018,0.7718,0.86126,0.57459,1.37838,0.87867,1.85209,0.0033003,0.0033003,0.0033003
125,4356.06,0.68112,0.4419,1.14289,0.8525,0.7547,0.85658,0.57462,1.37703,0.88907,1.85063,0.00322778,0.00322778,0.00322778
126,4390.79,0.6806,0.44407,1.14111,0.85044,0.77687,0.855,0.57375,1.37408,0.88573,1.85419,0.00315572,0.00315572,0.00315572
127,4425.51,0.66304,0.43005,1.12973,0.82355,0.78023,0.85263,0.57247,1.37232,0.88337,1.85613,0.00308412,0.00308412,0.00308412
128,4460.29,0.65968,0.44126,1.12618,0.812,0.7867,0.8554,0.57465,1.36703,0.88892,1.84616,0.003013,0.003013,0.003013
129,4495.08,0.66938,0.4324,1.13363,0.86602,0.74991,0.8562,0.5764,1.3682,0.88755,1.84713,0.00294239,0.00294239,0.00294239
130,4529.8,0.66706,0.43063,1.13319,0.86268,0.75285,0.85375,0.57696,1.36059,0.88238,1.83752,0.0028723,0.0028723,0.0028723
131,4564.53,0.64706,0.42607,1.11877,0.84826,0.76624,0.85586,0.57665,1.35893,0.88076,1.83856,0.00280275,0.00280275,0.00280275
132,4599.24,0.65384,0.4216,1.12152,0.85777,0.76116,0.85894,0.57429,1.36101,0.878,1.84087,0.00273375,0.00273375,0.00273375
133,4633.93,0.65171,0.42162,1.11832,0.83389,0.76985,0.85557,0.57779,1.35832,0.87653,1.84341,0.00266532,0.00266532,0.00266532
134,4668.5,0.64523,0.42563,1.12029,0.85466,0.76029,0.85737,0.5781,1.35589,0.87571,1.84654,0.00259748,0.00259748,0.00259748
135,4703.2,0.62895,0.4113,1.09981,0.8437,0.76695,0.85667,0.58093,1.35619,0.87898,1.84362,0.00253024,0.00253024,0.00253024
136,4737.78,0.6335,0.40964,1.1076,0.83837,0.77636,0.8584,0.58268,1.35453,0.87083,1.84478,0.00246363,0.00246363,0.00246363
137,4772.52,0.62983,0.40684,1.10416,0.82955,0.77676,0.86272,0.5809,1.35754,0.8675,1.85358,0.00239766,0.00239766,0.00239766
138,4807.23,0.6187,0.40681,1.09685,0.86409,0.75445,0.86281,0.58263,1.35505,0.86754,1.84919,0.00233234,0.00233234,0.00233234
139,4841.97,0.62628,0.41456,1.1016,0.81623,0.79371,0.86038,0.58259,1.35936,0.8709,1.85449,0.00226769,0.00226769,0.00226769
140,4876.72,0.62143,0.40486,1.09715,0.85051,0.76704,0.86037,0.58121,1.35639,0.87064,1.85252,0.00220372,0.00220372,0.00220372
141,4911.31,0.60921,0.40334,1.08663,0.83184,0.78969,0.86196,0.58399,1.35514,0.86619,1.8527,0.00214046,0.00214046,0.00214046
142,4945.96,0.60718,0.40104,1.08688,0.84709,0.77404,0.86001,0.58169,1.35401,0.86253,1.85138,0.00207792,0.00207792,0.00207792
143,4980.76,0.61274,0.39749,1.09509,0.84165,0.77914,0.86141,0.58431,1.3489,0.86047,1.84894,0.00201611,0.00201611,0.00201611
144,5015.41,0.60824,0.40256,1.08928,0.82833,0.78272,0.8615,0.58365,1.35009,0.86109,1.85143,0.00195505,0.00195505,0.00195505
145,5050.06,0.5996,0.39177,1.08196,0.84153,0.77908,0.86177,0.58581,1.35076,0.86099,1.8533,0.00189475,0.00189475,0.00189475
146,5084.79,0.59913,0.39445,1.08212,0.83484,0.77971,0.85945,0.58449,1.35169,0.86131,1.85372,0.00183523,0.00183523,0.00183523
147,5119.5,0.57945,0.38673,1.07064,0.82497,0.7795,0.85911,0.58383,1.34973,0.86103,1.85014,0.00177651,0.00177651,0.00177651
148,5154.26,0.58919,0.38806,1.0739,0.84013,0.77939,0.85941,0.5852,1.35195,0.8589,1.85731,0.00171859,0.00171859,0.00171859
149,5189.09,0.58511,0.38373,1.07146,0.86369,0.76805,0.86018,0.58471,1.34961,0.85768,1.85693,0.00166149,0.00166149,0.00166149
150,5223.81,0.57547,0.37624,1.06467,0.84608,0.77893,0.86019,0.5827,1.34861,0.86358,1.8562,0.00160523,0.00160523,0.00160523
151,5258.53,0.56827,0.37436,1.05937,0.84263,0.77719,0.85884,0.58387,1.34889,0.86642,1.8603,0.00154982,0.00154982,0.00154982
152,5293.27,0.57005,0.37809,1.061,0.83016,0.78952,0.86054,0.58377,1.35048,0.86331,1.8639,0.00149527,0.00149527,0.00149527
153,5328.06,0.57275,0.37932,1.06271,0.84419,0.77916,0.86125,0.58344,1.35017,0.86217,1.86316,0.00144161,0.00144161,0.00144161
